INDEX,P_TARGET
3,1.19243
9,3.82625
10,2.44449
18,2.50185
21,1.01309
30,6.45332
31,2.59508
37,1.56875
39,0.82233
47,1.36353
60,2.77216
62,1.30683
63,3.62326
64,1.22522
68,1.03996
75,2.36433
76,2.55145
83,0.89656
87,3.58507
92,5.8633
98,2.59003
106,1.2042
107,1.62383
113,2.60692
120,3.83909
123,4.93831
125,2.85285
126,7.01702
128,5.08161
129,2.65505
131,4.42323
135,1.46646
141,4.57923
147,3.24897
148,0.97794
151,3.5552
156,3.37747
157,3.5
174,1.15363
186,1.3601
193,2.45503
195,1.19298
212,1.02829
213,1.09254
217,3.11835
223,4.04753
226,3.12607
228,4.67471
230,3.95531
241,2.29875
243,3.70175
249,1.27605
281,3.63612
288,0.84737
294,1.95578
295,2.17176
300,5.21615
302,3.76735
303,1.30873
308,1.12649
319,4.89604
320,1.13589
324,2.93077
331,2.72112
343,3.00239
347,2.23876
348,3.82479
350,4.43937
357,0.93407
358,3.56577
360,4.60851
366,3.65175
367,2.682
368,4.79027
376,2.17768
380,3.522
388,0.58936
396,4.0618
398,5.28979
403,3.91822
410,1.88446
412,1.71756
420,2.36717
434,2.27491
440,3.07685
450,3.09243
453,2.6029
464,5.27176
465,3.82462
466,5.12549
473,2.54167
476,1.2861
478,1.35582
479,2.85426
493,2.88519
497,3.05355
503,3.91646
504,3.28218
505,2.72096
507,1.02897
513,2.83331
519,2.53756
521,3.61855
522,3.61588
545,3.04702
549,1.51676
551,1.26895
556,6.36464
557,6.63582
559,1.1056
560,2.5885
566,3.56625
569,3.68515
573,2.60549
578,1.12001
579,5.20399
582,4.4288
596,3.89979
598,1.98488
599,0.96953
602,2.91787
605,1.3086
617,3.13516
619,5.56065
630,3.07847
634,3.02488
643,2.31169
645,0.83826
647,4.05163
649,3.36054
656,3.43216
657,4.29294
658,2.85483
667,3.36069
692,3.11719
693,4.35599
698,0.99677
699,3.46144
700,6.76638
704,3.17326
707,3.37274
708,3.93669
709,3.15166
713,0.8296
714,2.6557
716,2.18871
718,3.68448
722,4.13208
729,6.31656
731,2.5533
733,3.16704
746,3.14154
747,3.19593
748,0.95534
753,0.99564
757,1.01481
763,3.17975
767,5.89057
774,2.94334
776,1.33284
788,1.08216
794,3.54282
799,1.3351
803,4.1959
806,3.97943
807,3.46457
811,4.94882
816,5.7581
818,3.04148
819,1.13082
831,5.27908
835,4.78504
837,1.13784
841,1.51838
846,1.04668
856,6.23171
861,4.03519
862,1.83806
863,2.82063
865,4.01058
871,2.84189
879,1.21351
880,2.63556
881,2.94444
885,3.40762
887,2.64631
892,1.4085
898,3.77989
900,0.88641
904,1.30987
906,4.86066
910,4.24146
912,3.66114
913,2.42323
919,5.21382
924,1.10895
925,3.00661
930,2.85567
940,2.13933
941,3.7846
946,0.85612
949,4.79669
951,1.09207
962,4.11887
966,2.55404
967,5.3089
971,1.47331
981,3.17013
982,2.28111
983,1.19079
984,1.63464
